culture,number,direction,degree of direction,condition,length,wide,height,burial utensil,weave,gender,age,agate bead,gold bead,glass bead,b_m_bracelet,s_m_bracelet,bell,m_ornament,fish_m_weave,gold foil,comb,coin,blue and white,Ceramics,Anping jar,geometric pottery,hard pottery,others
1,0,1,290,3,115,70,,1,0,,,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,1,295,2,102,60,30,,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,1,290,2,104,75,60,1,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,290,1,130,82,60,1,0,,,0,5,0,2,2,0,0,1,4,0,0,0,0,0,2,0,0
1,4,1,300,2,140,73,30,1,0,3,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,5,1,285,2,70,50,35,1,0,,2,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0
1,6,1,310,3,85+,55,13,1,0,,,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0
1,7,1,290,2,130,60,29,1,1,1,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,1,295,2,100,58,15,1,0,,,8,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,1,300,1,130,70,60,1,0,,7,0,2,1526,3,0,0,1,0,1,0,0,0,0,0,1,0,0
1,11,1,300,2,90+,60,40,1,1,4,,0,5,18,3,1,0,0,1,2,0,0,0,0,0,1,0,0
1,12,2,,3,?,?,9,,0,,,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,15,1,290,2,95,60,27,1,0,4,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,16,1,300,1,76,45,37,,0,,1,0,3,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0
1,17,1,292,2,100,60,30,1,1,,6,2,3,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0
1,18,1,280,2,110,70,24,,1,,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,19,2,,3,?,?,13,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,1,295,2,123,60,36,1,1,,7,8,1,2936,4,14,0,4,0,0,1,237,2,0,0,0,0,4
1,21,1,290,2,105,47,22,1,1,4,7,1,1,116,2,4,0,0,0,0,0,0,0,1,0,0,0,0
1,22,1,300,2,114,70,35,1,0,,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,23A,1,300,2,105,55,31,1,1,4,,2,1,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0
1,23B,1,300,2,120,70,28,1,1,3,5,2,1,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0
1,25,1,295,1,95,45,37,1,0,3,5,1,0,3,2,3,0,0,0,0,0,0,0,0,0,0,1,0
1,26,1,290,2,100,70,30,1,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,1,315,3,115,80,20,1,1,3,8,5,0,17,6,4,0,1,0,0,0,0,0,0,0,0,0,0
1,28,1,305,2,105,45,28,1,0,4,,6,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,29,2,,2,75,75,48,1,0,,,2,0,198,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1,30,1,310,1,135,70,42,1,1,1,7,0,2,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0
1,31,1,305,2,113,73,26,1,0,,,0,2,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0
1,32,1,305,1,140,58,50,3,0,,3,0,6,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0
1,33,1,320,2,73,45,12,,0,,2,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,34,1,305,2,102,60,45,1,1,1,,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,35,1,290,2,110,45,21,1,1,,,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,36,1,300,2,113,60,29,1,0,,7,3,3,4,2,4,0,0,0,0,0,0,0,0,2,0,0,0
1,40,1,280,1,100,55,20,1,0,,,0,0,60,0,3,0,1,0,0,0,0,1,1,0,0,0,0
1,42,1,305,1,125,65,56,1,1,,,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,44,1,295,2,120,75,44,1,0,,4,5,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0
1,45,1,15,1,88,50,40,1,1,,,7,0,290,2,5,0,0,0,0,1,0,0,0,1,0,0,0
1,46,1,70,1,90,50,20,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,47,1,300,2,90,50,44,1,1,3,7,5,0,19,2,2,0,0,0,0,0,0,0,1,0,1,0,0
1,48,1,0,2,125,70,20,1,0,3,"3,4",4,2,0,6,1,0,0,0,0,0,0,0,0,0,3,1,1
1,51,1,295,2,105,75,44,1,0,,,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,53,1,295,2,100,70,30,1,1,3,4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,54,1,285,2,122,56,31,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,55,2,,3,?,?,10,,0,2,,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,58,1,295,2,90,56,35,1,0,,2,1,1,0,2,7,2,0,0,0,0,0,0,0,1,0,0,0
1,59,1,280,2,60,35,17,1,0,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,60,1,20,2,55,40,30,1,1,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
1,61,1,295,2,90,60,63,1,0,1,5,0,2,6,0,2,0,1,0,1,0,0,1,0,0,0,0,0
1,65,1,300,2,90,65,28,1,0,3,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,67,1,300,2,100,55,46,1,1,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,68,1,295,3,70,45,13,,0,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,69,1,295,2,126,65,20,1,0,3,5,4,3,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0
1,70,1,30,2,120,60,18,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,73,1,70,2,128,60,32,1,1,1,7,0,4,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
1,74,1,20,2,105,65,47,1,0,1,7,0,2,12,4,1,0,0,0,1,0,0,0,0,1,2,0,0
1,75,1,20,2,120,70,28,,0,1,7,0,2,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0
1,77,1,310,2,66,40,15,1,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,78,1,310,1,90,60,16,1,0,,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,79,1,295,2,75,40,9,1,0,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,80,1,325,2,90,45,29,1,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,81,1,15,1,140,70,60,1,0,,,0,2,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0
1,83,2,,3,?,?,30,1,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,1,305,2,85,65,25,,0,,4,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,85,1,300,1,110,55,36,1,0,3,4,6,0,9,6,6,0,0,0,0,0,0,0,1,0,0,0,0
1,86,1,320,1,80,50,24,1,0,,,6,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1,88,1,295,2,100,60,24,1,0,,3,0,2,0,9,1,0,0,0,0,0,0,0,1,0,1,0,0
1,89,1,290,2,115,70,30,1,0,1,7,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,90,1,280,3,75,45,32,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,91,2,,3,?,?,29,,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,92,2,,3,?,?,20,1,0,,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1,93,2,,3,?,?,10,1,0,2,7,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1,94,1,90,3,93,83,22,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,95,1,300,1,105,60,29,1,0,,,17,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,96,1,295,1,135,60,40,1,0,4,7,0,60,999,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,97,1,280,2,90,50,20,1,0,,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,99,2,,1,?,?,39,,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100,1,290,2,90,50,21,1,0,,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,101,1,5,2,105,60,24,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,102,1,20,1,100,70,30,1,0,3,4,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,103,1,45,1,88,85,35,1,0,,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104,1,20,2,100,55,25,1,0,,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,107,1,285,2,110,60,20,1,0,4,7,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,108,1,90,2,100,53,36,1,1,2,5,3,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0
1,109,1,290,2,115,60,25,1,1,1,5,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
1,110,1,310,2,85,55,16,1,0,,,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,115,1,310,2,110,55,20,1,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,126,2,,3,?,?,16,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,127,2,,3,?,?,12,,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,132,1,30,3,155,40,9,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
